#runnum	fit_mean	fit_error
24676	0.996892	0.056446
24677	0.987092	0.076930
24678	0.998099	0.061078
24679	0.987009	0.064189
24680	0.992161	0.070815
24681	0.998395	0.043558
24682	1.005303	0.064651
24683	0.971582	0.108037
24684	0.996592	0.065192
24685	0.994279	0.061298
24686	0.984152	0.075878
24687	0.991174	0.055183
24688	0.996084	0.052690
24690	1.006148	0.039860
24691	1.005207	0.039869
24692	1.005400	0.039674
24693	1.005135	0.039808
24694	1.005212	0.039363
24695	1.005081	0.040037
24696	1.003914	0.039942
24697	1.005817	0.040331
24698	1.004963	0.039735
24699	1.005112	0.040049
24701	1.005737	0.039667
24702	1.002336	0.040001
24703	0.996165	0.039459
24706	1.005776	0.039896
24707	1.002021	0.039984
24708	1.001539	0.039943
24709	1.000747	0.039199
24710	0.996312	0.039769
24712	1.002107	0.039556
24713	1.006424	0.039987
24714	1.006219	0.040193
24715	1.006249	0.039852
24716	1.005993	0.039869
24717	1.006238	0.040303
24718	1.006204	0.040331
24719	1.006235	0.040076
24720	1.002764	0.039897
24721	1.002795	0.039236
24722	1.002414	0.040134
24723	1.003002	0.039204
24752	1.001717	0.039765
24765	0.998353	0.039681
24793	0.996683	0.047566
24802	0.993868	0.045384
24833	1.022757	0.031879
24834	1.022659	0.031965
24835	1.020808	0.031998
24836	1.018111	0.032826
24837	1.020465	0.032720
24838	1.019099	0.033015
24839	1.018601	0.033024
24840	1.017450	0.033178
24841	1.016696	0.033288
24842	1.016036	0.033435
24843	1.014482	0.033441
24844	1.016349	0.033609
24845	1.014922	0.033664
24846	1.012900	0.034052
24878	0.886740	0.163928
24880	0.909142	0.144666
24881	0.918862	0.129084
24885	0.934576	0.109547
24888	0.929717	0.122702
24892	0.931871	0.104891
24896	0.980970	0.072168
24901	0.962223	0.093766
24903	0.959971	0.111755
24907	0.987290	0.073994
24912	0.988947	0.051408
24913	0.951159	0.107991
24916	0.936540	0.124663
24923	0.970812	0.083475
24926	0.983658	0.063323
24932	0.983623	0.067423
24933	0.974332	0.079819
24937	0.986984	0.062966
24952	0.971372	0.079899
24953	0.964078	0.089549
24968	0.999077	0.046663
24980	0.997471	0.048876
24984	0.998689	0.046122
24990	1.001823	0.046852
24997	1.001126	0.045017
25010	1.042572	0.033240
25011	1.041436	0.033004
25014	1.030123	0.031458
25017	1.040454	0.032854
25018	1.040057	0.032791
25022	1.041247	0.032653
25024	1.031238	0.031567
25029	1.034448	0.032031
25031	1.042719	0.033239
25037	1.038889	0.033756
25041	1.038476	0.032566
25043	1.037723	0.032422
25048	1.001273	0.033756
25049	1.010924	0.034736
25051	1.010430	0.034539
25055	1.011304	0.034591
25058	1.009442	0.034550
25059	1.011879	0.034675
25060	1.011846	0.034874
25065	1.011196	0.034691
25069	1.011166	0.034546
25071	1.010829	0.034688
25082	1.001766	0.039360
25090	1.002141	0.039391
25095	1.000730	0.039379
