#Run#	eBeam_diff	iBeam_diff	targ	type	Q2_difference	xbj_difference	HMSp_diff	HMSth_diff	SHMSp_diff	SHMSth_diff	Livetime_diff
24577	0.000000	6.039000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24579	0.000000	1.858000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24581	0.000000	-0.706000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000001
24626	0.000000	1.608000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000004
24637	0.000000	-32.969000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000002
24644	0.000000	1.378000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000000
24652	0.000000	2.060000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000004
24663	0.000000	1.434000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000002
24705	0.000000	4.039000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24711	0.000000	2.614000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24750	0.000000	-0.592000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000005
24763	0.000000	0.922000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000001
24792	0.000000	-0.579000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000003
24800	0.000000	1.556000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000002
24847	0.000000	4.375000	True	True	1002.305190	999.249830	0.000000	0.000000	0.000000	0.000000	0.000004
24848	0.000000	8.221000	True	True	1002.305190	999.249830	0.000000	0.000000	0.000000	0.000000	0.000001
24849	0.000000	0.807000	True	True	1002.305190	999.249830	0.000000	0.000000	0.000000	0.000000	999.045332
