runnum,gooddis,normyield	date	start_time	beam_energy	target	hms_p	hms_th	shms_p	shms_th	prescales	comments
25278,675014,17.0563	08/25	20:53	10.67	55	Copper	-3.642	16.75	+4.868	10.305	-1,-1,-1,3,-1,-1
25284,670678,97.3906	08/26	02:06	10.67	10	LD2	-3.642	16.75	+3.632	10.305	-1,-1,-1,1,-1,-1
25291,845666,52.7565	08/26	05:22	10.67	21	LH2	-3.642	16.75	+3.632	10.305	-1,-1,-1,1,-1,-1
25294,648897,23.8297	08/26	06:35	10.67	40	Dummy	-3.642	16.75	+3.632	10.305	-1,-1,-1,2,-1,-1
25297,403522,22.5275	08/26	08:02	10.67	37	Carbon	-3.642	16.75	+3.632	10.305	-1,-1,-1,3,-1,-1
25302,617369,16.995	08/26	12:23	10.67	47	Copper	-3.642	16.75	+3.632	10.305	-1,-1,-1,3,-1,-1
25308,769682,52.6721	08/26	19:12	10.67	25	Aluminum	-3.642	16.75	+3.632	10.305	-1,-1,-1,0,-1,-1
25325,162,0.169077	08/27	20:54	10.67	5	C-hole	-3.642	16.75	+2.615	10.305	-1,-1,-1,1,-1,-1
25326,21274,12.3367	08/27	21:13	10.67	5	C-hole	-3.642	16.75	+2.615	10.305	-1,-1,-1,1,-1,-1
25335,772764,134.996	08/28	00:55	10.67	10	LH2	-3.642	16.75	+2.615	10.305	-1,-1,-1,0,-1,-1
25361,796307,52.7806	08/28	17:46	10.67	30	LH2	-3.642	16.75	+3.632	13.51	-1,-1,-1,1,-1,-1
25367,693188,61.0664	08/28	20:32	10.67	22	LD2	-3.642	16.75	+3.632	13.51	-1,-1,-1,2,-1,-1
25369,724618,64.0798	08/28	21:30	10.67	40	Dummy	-3.642	16.75	+3.632	13.51	-1,-1,-1,2,-1,-1
25373,546117,39.5458	08/28	23:33	10.67	50	Carbon	-3.642	16.75	+3.632	13.51	-1,-1,-1,2,-1,0
25378,479981,9.21356	08/29	01:43	10.67	60	Copper	-3.642	16.75	+3.632	13.51	-1,-1,-1,4,-1,-1
25391,773673,32.98	08/29	09:37	10.67	30	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,4,-1,0
25396,837275,135.302	08/29	12:29	10.67	10	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,0,-1,-1
25397,285554,53.5502	08/29	12:48	10.67	20	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,1,-1,-1
