runnum,run_type,target,phase,xbj,q2,ebeam,ibeam_1,ibeam_2,ibeam_4a,ibeam_4c,qbeam_1,qbeam_2,qbeam_4a,qbeam_4c,hms_p,hms_th,hms_th_rad,ps3,ps4,trackeff,nu,boil_corr,epsilon,weight,3of4_rate,3of4_counts,elclean_rate,elclean_counts
24456,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,7.872,8.039,7.979,7.954,11245.318,11483.331,11397.422,11362.303,-1.531,29.045,0.506930881241753,5.0,-1.0,0.9997,7.0521,1.002455,0.011528907008166632,5.0137791337401225,,8.645,0.164,234250.0
24465,HMSDIS,Dummy,I,0.24975789710096158,3.3051904135289774,8.5831,10.103,10.228,10.19,10.18,8856.382,8965.95,8939.912,8929.011,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0,0.011528907008166632,1.0002000400080016,,10.218,0.149,130927.0
24466,HMSDIS,Dummy,I,0.24975789710096158,3.3051904135289774,8.5831,10.049,10.134,10.12,10.1,9167.771,9245.616,9235.025,9217.637,-1.531,29.045,0.506930881241753,5.0,-1.0,0.9997,7.0521,1.0,0.011528907008166632,5.00150045013504,,10.13,0.148,134721.0
24481,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,5.984,6.174,6.143,6.123,5411.009,5583.057,5554.958,5537.43,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0,0.011528907008166632,1.000760465868888,,11.162,0.162,146905.0
24482,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,5.908,6.096,6.042,6.025,2613.864,2696.968,2673.005,2665.415,-1.531,29.045,0.506930881241753,1.0,-1.0,0.9998,7.0521,1.0,0.011528907008166632,1.7859758227380702,,11.034,0.16,70703.0
24483,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,5.942,6.13,6.095,6.083,5461.026,5633.977,5601.142,5590.412,-1.531,29.045,0.506930881241753,5.0,-1.0,0.9995,7.0521,1.0,0.011528907008166632,5.0076591395390375,,11.088,0.161,147664.0
24495,HMSDIS,Cu,I,0.24975789710096158,3.3051904135289774,8.5831,5.948,6.139,6.139,6.13,5071.171,5233.73,5233.719,5226.183,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0,0.011528907008166632,1.0002000400080016,,10.088,0.143,121940.0
24496,HMSDIS,Cu,I,0.24975789710096158,3.3051904135289774,8.5831,5.876,6.065,6.065,6.06,2618.805,2702.959,2703.206,2700.694,-1.531,29.045,0.506930881241753,1.0,-1.0,0.9997,7.0521,1.0,0.011528907008166632,1.6187919182221417,,9.973,0.141,62626.0
24498,HMSDIS,Cu,I,0.24975789710096158,3.3051904135289774,8.5831,5.933,6.123,6.125,6.115,5201.88,5368.093,5369.732,5361.528,-1.531,29.045,0.506930881241753,5.0,-1.0,0.9998,7.0521,1.0,0.011528907008166632,5.001000200040008,,10.078,0.142,124625.0
24537,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,35.269,36.008,36.12,36.13,3510.918,3584.45,3596.348,3596.905,1.531,29.045,0.506930881241753,-1.0,5.0,0.9968,7.0521,1.012578,0.011528907008166632,5.079143258426965,,390.803,0.248,24689.0
24541,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,31.921,32.6,32.53,32.47,27040.784,27616.565,27563.108,27512.407,1.531,29.045,0.506930881241753,-1.0,3.0,0.9976,7.0521,1.011387,0.011528907008166632,3.04146050521251,,354.338,0.228,193330.0
24544,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,47.409,48.434,48.76,48.71,47624.871,48653.934,48983.136,48933.985,1.531,29.045,0.506930881241753,-1.0,3.0,0.9973,7.0521,1.023171,0.011528907008166632,3.077823122430563,,291.73,0.174,175278.0
24546,HMSDIS,Dummy,I,0.24975789710096158,3.3051904135289774,8.5831,38.977,39.806,40.07,40.02,28020.761,28617.283,28808.931,28771.821,1.531,29.045,0.506930881241753,-1.0,1.0,0.9978,7.0521,1.0,0.011528907008166632,1.0121441057903384,,190.006,0.102,73494.0
24549,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,45.856,46.601,46.56,46.43,42187.077,42872.844,42839.936,42715.33,1.531,29.045,0.506930881241753,-1.0,3.0,0.9981,7.0521,1.0,0.011528907008166632,3.005710850616171,,367.712,0.233,214668.0
24551,HMSDIS,Cu,I,0.24975789710096158,3.3051904135289774,8.5831,47.732,48.65,48.93,48.87,44396.892,45250.945,45511.877,45461.057,1.531,29.045,0.506930881241753,-1.0,3.0,0.9983,7.0521,1.0,0.011528907008166632,3.005108684764099,,397.593,0.298,277448.0
24563,HMSDIS,Al,I,0.24975789710096158,3.3051904135289774,8.5831,50.947,51.18,51.25,51.14,56604.884,56863.531,56945.885,56825.512,1.531,29.045,0.506930881241753,-1.0,1.0,0.9976,7.0521,1.0,0.011528907008166632,1.004142941145439,,114.336,0.06,66893.0
24573,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,24.134,24.357,24.36,24.33,20724.748,20916.006,20922.353,20896.682,1.531,29.045,0.506930881241753,-1.0,3.0,0.9977,7.0521,1.008508,0.011528907008166632,3.032498747118372,,266.994,0.174,149505.0
24575,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,34.292,34.417,34.56,34.53,26261.851,26357.326,26467.443,26443.795,1.531,29.045,0.506930881241753,-1.0,2.0,0.9973,7.0521,1.016836,0.011528907008166632,2.0391777800060167,,209.813,0.125,95425.0
24577,HMSDIS,Dummy,I,0.24975789710096158,3.3051904135289774,8.5831,35.84,36.306,36.55,36.5,29173.65,29552.841,29757.412,29716.25,1.531,29.045,0.506930881241753,-1.0,2.0,0.997,7.0521,1.0,0.011528907008166632,2.0060180541624875,,173.5,0.095,77364.0
24579,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,33.322,33.567,33.79,33.73,22747.213,22914.711,23068.867,23032.309,1.531,29.045,0.506930881241753,-1.0,2.0,0.9977,7.0521,1.0,0.011528907008166632,2.004610604390097,,266.052,0.167,113875.0
24581,HMSDIS,Cu,I,0.24975789710096158,3.3051904135289774,8.5831,35.105,35.758,35.62,35.56,25386.079,25858.112,25759.28,25721.588,1.531,29.045,0.506930881241753,-1.0,2.0,0.9976,7.0521,1.0,0.011528907008166632,2.00491179330418,,295.405,0.22,159003.0
